Key,Palabras
1,entre
2,cuando
3,todo
4,esta
5,dos
6,también
7,fue
8,había
9,era
10,muy
11,años
12,hasta
13,desde
14,está
15,porque
16,qué
17,sólo
18,han
19,hay
20,vez
21,puede
22,todos
23,así
24,nos
25,parte
26,tiene
27,uno
28,donde
29,bien
30,tiempo
31,mismo
32,ahora
33,cada
34,vida
35,otro
36,después
37,otros
38,aunque
39,hace
40,otra
41,gobierno
42,durante
43,siempre
44,tanto
45,ella
46,tres
47,dijo
48,sido
49,gran
50,país
51,según
52,menos
53,mundo
54,año
55,antes
56,estado
57,contra
58,sino
59,forma
60,caso
61,nada
62,hacer
63,general
64,estaba
65,poco
66,estos
67,presidente
68,mayor
69,ante
70,unos
71,les
72,algo
73,hacia
74,casa
75,ellos
76,ayer
77,hecho
78,primera
79,mucho
80,mientras
81,además
82,quien
83,momento
84,millones
85,esto
86,españa
87,hombre
88,están
89,pues
90,hoy
91,lugar
92,madrid
93,nacional
94,trabajo
95,otras
96,mejor
97,nuevo
98,decir
99,algunos
100,entonces
101,todas
102,días
103,debe
104,política
105,cómo
106,casi
107,toda
108,tal
109,luego
110,pasado
111,primer
112,medio
113,estas
114,sea
115,tenía
116,nunca
117,poder
118,aquí
119,ver
120,veces
121,embargo
122,partido
123,personas
124,grupo
125,cuenta
126,pueden
127,tienen
128,misma
129,nueva
130,cual
131,fueron
132,mujer
133,frente
134,josé
135,tras
136,cosas
137,fin
138,ciudad
139,social
140,manera
141,tener
142,sistema
143,será
144,historia
145,muchos
146,juan
147,tipo
148,cuatro
149,dentro
150,nuestro
151,punto
152,dice
153,ello
154,cualquier
155,noche
156,aún
157,agua
158,parece
159,haber
160,situación
161,fuera
162,bajo
163,grandes
164,nuestra
165,ejemplo
166,acuerdo
167,habían
168,usted
169,estados
170,hizo
171,nadie
172,países
173,horas
174,posible
175,tarde
176,ley
177,importante
178,guerra
179,desarrollo
180,proceso
181,realidad
182,sentido
183,lado
184,cambio
185,allí
186,mano
187,eran
188,estar
189,número
190,sociedad
191,unas
192,centro
193,padre
194,gente
195,final
196,relación
197,cuerpo
198,obra
199,incluso
200,través
201,último
202,madre
203,modo
204,problemas
205,cinco
206,carlos
207,hombres
208,información
209,ojos
210,muerte
211,nombre
212,algunas
213,público
214,mujeres
215,siglo
216,todavía
217,meses
218,mañana
219,esos
220,nosotros
221,hora
222,muchas
223,pueblo
224,alguna
225,dar
226,problema
227,don
228,derecho
229,verdad
230,maría
231,unidos
232,podría
233,sería
234,junto
235,cabeza
236,aquel
237,luis
238,cuanto
239,tierra
240,equipo
241,segundo
242,director
243,dicho
244,cierto
245,casos
246,manos
247,nivel
248,podía
249,familia
250,largo
251,partir
252,falta
253,llegar
254,propio
255,ministro
256,cosa
257,primero
258,seguridad
259,hemos
260,mal
261,trata
262,algún
263,tuvo
264,respecto
265,semana
266,varios
267,real
268,voz
269,paso
270,señor
271,mil
272,quienes
273,proyecto
274,mercado
275,mayoría
276,luz
277,claro
278,iba
279,éste
280,pesetas
281,orden
282,español
283,buena
284,quiere
285,aquella
286,programa
287,palabras
288,internacional
289,van
290,esas
291,segunda
292,empresa
293,puesto
294,ahí
295,propia
296,libro
297,igual
298,político
299,persona
300,últimos
301,ellas
302,total
303,creo
304,tengo
305,dios
306,española
307,condiciones
308,méxico
309,fuerza
310,solo
311,único
312,acción
313,amor
314,policía
315,puerta
316,pesar
317,zona
318,sabe
319,calle
320,interior
321,tampoco
322,música
323,ningún
324,vista
325,campo
326,buen
327,hubiera
328,saber
329,obras
330,razón
331,niños
332,presencia
333,tema
334,dinero
335,comisión
336,antonio
337,servicio
338,hijo
339,última
340,ciento
341,estoy
342,hablar
343,dio
344,minutos
345,producción
346,camino
347,seis
348,quién
349,fondo
350,dirección
351,papel
352,demás
353,barcelona
354,idea
355,especial
356,diferentes
357,dado
358,base
359,capital
360,ambos
361,europa
362,libertad
363,relaciones
364,espacio
365,medios
366,actual
367,población
368,empresas
369,estudio
370,salud
371,servicios
372,haya
373,principio
374,siendo
375,cultura
376,anterior
377,alto
378,media
379,mediante
380,primeros
381,arte
382,paz
383,sector
384,imagen
385,medida
386,deben
387,datos
388,consejo
389,personal
390,interés
391,julio
392,grupos
393,miembros
394,ninguna
395,existe
396,cara
397,edad
398,etc
399,movimiento
400,visto
401,llegó
402,puntos
403,actividad
404,bueno
405,uso
406,niño
407,difícil
408,joven
409,futuro
410,aquellos
411,mes
412,pronto
413,soy
414,hacía
415,nuevos
416,nuestros
417,estaban
418,posibilidad
419,sigue
420,cerca
421,resultados
422,educación
423,atención
424,gonzález
425,capacidad
426,efecto
427,necesario
428,valor
429,aire
430,investigación
431,siguiente
432,figura
433,central
434,comunidad
435,necesidad
436,serie
437,organización
438,nuevas
439,calidad
440,economía
441,carácter
442,jefe
443,estamos
444,prensa
445,control
446,sociales
447,universidad
448,militar
449,cabo
450,diez
451,fuerzas
452,congreso
453,ésta
454,hijos
455,justicia
